servicerequestnum,code,codeDescription,address,city,state,zip,createdDate,dueDate,statusDate,status,activity,outcome,updatedDate
13-00368610,HCDRODEN,HCD-Rodents,1901 W LANVALE ST ,BALTIMORE CITY,MD,21217,05/19/2013 05:21:02 PM +0000,06/03/2013,05/19/2013,OPEN,,,
13-00368042,HCDRODEN,HCD-Rodents,2705  HAMPDEN AVE ,BALTIMORE CITY,MD,21211,05/19/2013 05:35:29 AM +0000,06/03/2013,05/19/2013,DUPOPEN,,,
13-00368029,HCDRODEN,HCD-Rodents,2612  MILES AVE ,BALTIMORE CITY,MD,21211,05/19/2013 05:20:19 AM +0000,06/03/2013,05/19/2013,DUPOPEN,,,
13-00368028,HCDRODEN,HCD-Rodents,2618  MILES AVE ,BALTIMORE CITY,MD,21211,05/19/2013 05:18:19 AM +0000,06/03/2013,05/19/2013,DUPOPEN,,,
13-00368022,HCDRODEN,HCD-Rodents,2617  HAMPDEN AVE ,BALTIMORE CITY,MD,21211,05/19/2013 05:11:20 AM +0000,06/03/2013,05/19/2013,OPEN,,,
13-00368019,HCDRODEN,HCD-Rodents,910  SAINT PAUL ST ,BALTIMORE CITY,MD,21202,05/19/2013 05:01:18 AM +0000,06/03/2013,05/19/2013,OPEN,,,
13-00365801,HCDRODEN,HCD-Rodents,814 N LINWOOD AVE ,BALTIMORE CITY,MD,21205,05/17/2013 11:31:16 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00365608,HCDRODEN,HCD-Rodents,1101  SAINT PAUL ST ,BALTIMORE CITY,MD,21202,05/17/2013 10:43:14 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00365546,HCDRODEN,HCD-Rodents,400 N MONTFORD AVE ,BALTIMORE CITY,MD,21224,05/17/2013 10:34:46 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00364955,HCDRODEN,HCD-Rodents,5048  CHALGROVE AVE ,BALTIMORE CITY,MD,21215,05/17/2013 09:04:47 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00364892,HCDRODEN,HCD-Rodents,414  FOLCROFT ST ,BALTIMORE CITY,MD,21224,05/17/2013 08:52:46 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00364521,HCDRODEN,HCD-Rodents,411 N LOUDON AVE ,BALTIMORE CITY,MD,21229,05/17/2013 07:33:47 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00363219,HCDRODEN,HCD-Rodents,2204  PENROSE AVE ,BALTIMORE CITY,MD,21223,05/17/2013 04:16:38 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00362958,HCDRODEN,HCD-Rodents,4251  SHELDON AVE ,BALTIMORE CITY,MD,21206,05/17/2013 03:30:03 PM +0000,06/01/2013,05/17/2013,OPEN,,,
13-00361579,HCDRODEN,HCD-Rodents,3358  HICKORY AVE ,BALTIMORE CITY,MD,21211,05/16/2013 11:15:19 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00361554,HCDRODEN,HCD-Rodents,129 S MONASTERY AVE ,BALTIMORE CITY,MD,21229,05/16/2013 11:10:04 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00361134,HCDRODEN,HCD-Rodents,2504  EDGECOMBE CIR N,BALTIMORE CITY,MD,21215,05/16/2013 10:14:17 PM +0000,05/31/2013,05/17/2013,CLOSED,Dispatch Inspector,No Cause For Action,05/17/2013
13-00360897,HCDRODEN,HCD-Rodents,943  BROOKS LN ,BALTIMORE CITY,MD,21217,05/16/2013 09:36:16 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00360679,HCDRODEN,HCD-Rodents,529  MAUDE AVE ,BALTIMORE CITY,MD,21225,05/16/2013 08:55:28 PM +0000,05/31/2013,05/18/2013,CLOSED,Dispatch Inspector,Appointment Scheduled,05/18/2013
13-00360195,HCDRODEN,HCD-Rodents,340 W 29TH ST ,BALTIMORE CITY,MD,21211,05/16/2013 07:26:10 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359935,HCDRODEN,HCD-Rodents,151 N LAKEWOOD AVE ,BALTIMORE CITY,MD,21224,05/16/2013 06:27:26 PM +0000,05/31/2013,05/16/2013,DUPOPEN,,,
13-00359933,HCDRODEN,HCD-Rodents,132 N BELNORD AVE ,BALTIMORE CITY,MD,21224,05/16/2013 06:26:00 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359767,HCDRODEN,HCD-Rodents,1332  EDISON HWY ,BALTIMORE CITY,MD,21213,05/16/2013 05:54:40 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359284,HCDRODEN,HCD-Rodents,2863  PELHAM AVE ,BALTIMORE CITY,MD,21213,05/16/2013 04:07:42 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359271,HCDRODEN,HCD-Rodents,2860  PELHAM AVE ,BALTIMORE CITY,MD,21213,05/16/2013 04:04:00 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359254,HCDRODEN,HCD-Rodents,2843  PELHAM AVE ,BALTIMORE CITY,MD,21213,05/16/2013 04:01:17 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00359235,HCDRODEN,HCD-Rodents,2847  PELHAM AVE ,BALTIMORE CITY,MD,21213,05/16/2013 03:58:46 PM +0000,05/31/2013,05/16/2013,OPEN,,,
13-00358642,HLTHRATR,SW-Rat Rubout,726  MURPHY LN ,BALTIMORE CITY,MD,21201,05/16/2013 08:35:21 AM +0000,05/30/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364317,RATRUBPR,SW-Rat Rubout - Proactive,1032  EDMONDSON AVE ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364702,RATRUBPR,SW-Rat Rubout - Proactive,2112  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364699,RATRUBPR,SW-Rat Rubout - Proactive,2110  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364695,RATRUBPR,SW-Rat Rubout - Proactive,2108  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364682,RATRUBPR,SW-Rat Rubout - Proactive,2100  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364595,RATRUBPR,SW-Rat Rubout - Proactive,1815 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364587,RATRUBPR,SW-Rat Rubout - Proactive,1813 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364571,RATRUBPR,SW-Rat Rubout - Proactive,1805 N SMALLWOOD ST ,BALTIMORE CITY,MD,21216,05/16/2013 07:00:00 AM +0000,05/21/2013,05/17/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364268,RATRUBPR,SW-Rat Rubout - Proactive,252 N PAYSON ST ,BALTIMORE CITY,MD,21223,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,Active Rodent Sign,05/16/2013
13-00364708,RATRUBPR,SW-Rat Rubout - Proactive,2116  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364707,RATRUBPR,SW-Rat Rubout - Proactive,2114  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364702,RATRUBPR,SW-Rat Rubout - Proactive,2112  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364699,RATRUBPR,SW-Rat Rubout - Proactive,2110  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
13-00364693,RATRUBPR,SW-Rat Rubout - Proactive,2106  WESTWOOD AVE ,BALTIMORE CITY,MD,21217,05/16/2013 07:00:00 AM +0000,05/21/2013,05/16/2013,CLOSED,Dispatch Investigator,No Active Rodent Sign,05/16/2013
