"CASE.ID","SOURCE","DEPARTMENT","WORK.GROUP","REQUEST.TYPE","CREATION.DATE","CREATION.MONTH","CREATION.YEAR","STATUS","EXCEEDED.EST.TIMEFRAME","CLOSED.DATE","CLOSED.MONTH","CLOSED.YEAR","DAYS.TO.CLOSE","STREET.ADDRESS","ADDRESS.WITH.GEOCODE","ZIP.CODE","NEIGHBORHOOD","COUNCIL.DISTRICT","PARCEL.ID.NO","XCOORDINATE","YCOORDINATE","QUALITY.OF.SERVICE","TIMELINESS.OF..SERVICE","CUSTOMER.SERVICE"
2014019861,"PHONE","City Managers Office","City Managers Office-Action Center-","Rat Control Treatment","02/13/2014",2,2014,"RESOL","N","02/13/2014",2,2014,0,"1702 E 60TH ST","1702 60TH ST
Kansas City, Missouri 64110
(39.017925524000475, -94.56552546799969)",64110,"Citadel",5,104938,2770024.85,1038252.85,NA,NA,NA
2014090963,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","07/15/2014",7,2014,"RESOL","N","07/15/2014",7,2014,0,"8418 E 92ND PL","8418 E 92ND PL
Kansas City, Missouri 64138
(38.955297962000486, -94.4899298149997)",64138,"Fairwood And Robandee",5,68674,2791542.63,1015457.48,NA,NA,NA
2014089915,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","07/11/2014",7,2014,"RESOL","N","07/16/2014",7,2014,5,"9413 OAKLAND AVE","9413 OAKLAND AVE
Kansas City, Missouri 64138
(38.95266845500049, -94.50118530399965)",64138,"Fairwood And Robandee",5,69262,2788442.66,1014416.98,NA,NA,NA
2014153595,"WEB","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","12/11/2014",12,2014,"RESOL","N","12/15/2014",12,2014,4,"615 E 13TH ST","615 E 13TH ST
64106
(39.09836296800006, -94.575981068999965)",64106,"CBD Downtown",4,12924,2767207.43,1067244.43,NA,NA,NA
2011204399,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","10/10/2011",10,2011,"RESOL","N","10/12/2011",10,2011,2,"2744 JARBOE ST","2744 JARBOE ST
Kansas City, Missouri 64108
(39.077110425000456, -94.59771007699965)",64108,"Westside South",4,128575,2760878,1059760.71,3,3,3
2015007801,"WEB","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","01/23/2015",1,2015,"RESOL","N","01/23/2015",1,2015,0,"7808 WASHINGTON ST","7808 WASHINGTON ST
64114
(38.986522495000031, -94.59555603199999)",64114,"Ward Parkway",6,120355,2761468.85,1026766.84,NA,NA,NA
2014128793,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","10/06/2014",10,2014,"RESOL","N","10/06/2014",10,2014,0,"1031 N KANSAS AVE","1031 N KANSAS AVE
64120
(39.127140055000496, -94.5463847099997)",64120,"Northeast Industrial District",4,38676,2775604.26337493,1077967.26694952,NA,NA,NA
2008237842,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","09/22/2008",9,2008,"RESOL","N","10/15/2008",10,2008,23,"711 BELMONT AVE","711 BELMONT AVE
Kansas City, Missouri 64125
(39.10310015400046, -94.50946022699969)",64125,"Sheffield",3,5503,2786097.6,1069206.9,NA,NA,NA
2015027782,"WEB","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","03/19/2015",3,2015,"RESOL","N","03/19/2015",3,2015,0,"1106 NW 66TH TER","1106 NW 66TH TER
64118
(39.214023255000029, -94.593440442999963)",64118,"Clayton",2,96483,2762285.64,1109701.73,NA,NA,NA
2014130166,"PHONE","City Managers Office","City Managers Office-Action Center-Support","Rat Control Treatment","10/08/2014",10,2014,"RESOL","N","10/08/2014",10,2014,0,"8811 SYCAMORE AVE","8811 SYCAMORE AVE
64138
(38.964323786000477, -94.496001187999696)",64138,"Fairwood And Robandee",5,66076,2789901.12177847,1018720.35218037,NA,NA,NA
2014015537,"PHONE","City Managers Office","City Managers Office-Action Center-","Rat Control Treatment","02/06/2014",2,2014,"RESOL","N","02/10/2014",2,2014,4,"8308 E 99TH ST","8308 99TH ST
Kansas City, Missouri 64134
(38.94440803800046, -94.49210036599965)",64134,"Robandee South",5,69986,2790957.63,1011503.46,NA,NA,NA
2014017848,"PHONE","City Managers Office","City Managers Office-Action Center-","Rat Control Treatment","02/10/2014",2,2014,"RESOL","N","02/10/2014",2,2014,0,"4720 E 44TH TER","4720 44TH TER
Kansas City, Missouri 64130
(39.044648173000496, -94.52900656799966)",64130,"Vineyard",3,32854,2780482.78,1047987.2,NA,NA,NA
2013072538,"PHONE","Health","Health-Rat-","Rat Control Treatment","05/30/2013",5,2013,"RESOL","N","05/31/2013",5,2013,1,"2456 OLIVE ST","2456 OLIVE ST
Kansas City, Missouri 64127
(39.08094061100047, -94.55457092899968)",64127,"Wendell Phillips",3,14158,2773124.94,1061145.79,NA,NA,NA
2012053232,"PHONE","Health","Health-Rat-","Rat Control Treatment","04/25/2012",4,2012,"RESOL","N","05/04/2012",5,2012,9,"7344 WABASH AVE","7344 WABASH AVE
Kansas City, Missouri 64132
(38.99291084800046, -94.55834004399969)",64132,"East Meyer 7",5,115417,2772036.82,1029073.44,NA,NA,NA
2010352200,"PHONE","Health","Health-Rat-","Rat Control Treatment","10/25/2010",10,2010,"RESOL","N","11/05/2010",11,2010,11,"5829 HARRISON ST","5829 HARRISON ST
Kansas City, Missouri 64110
(39.02065089300049, -94.57533044799965)",64110,"Western 49-63",4,145085,2767400.31,1039197.28,NA,NA,NA
2009377685,"PHONE","Health","Health-Rat-","Rat Control Treatment","12/30/2009",12,2009,"RESOL","N","01/20/2010",1,2010,21,"8429 E 56TH TER","8429 56TH TER
Kansas City, Missouri 64129
(39.021560044000466, -94.48739056199969)",64129,"Coachlight Square",5,51922,2792181.22,1039454.02,NA,NA,NA
2009359792,"PHONE","Health","Health-Rat-","Rat Control Treatment","12/14/2009",12,2009,"RESOL","N","12/21/2009",12,2009,7,"5615 WABASH AVE","5615 WABASH AVE
Kansas City, Missouri 64130
(39.02418033400045, -94.55648026099965)",64130,"Blue Hills",5,147566,2772751.2,1040486,NA,NA,NA
2007158097,"PHONE","Health","Health-Rat-","Rat Control Education","11/09/2007",11,2007,"RESOL","N","11/09/2007",11,2007,0,"1312 E 44th St","1312 44th St
Kansas City, Missouri 64110
(39.04711075400047, -94.56939043299968)",64110," ",NA,0,0,0,NA,NA,NA
2008316893,"PHONE","Health","Health-Rat-","Rat Control Treatment","12/29/2008",12,2008,"RESOL","N","01/09/2009",1,2009,11,"1807 E 97TH TER","1807 97TH TER
Kansas City, Missouri 64131
(38.95087097800047, -94.56684043199965)",64131," ",NA,0,0,0,NA,NA,NA
2010230434,"PHONE","Health","Health-Rat-","Rat Control Treatment","06/23/2010",6,2010,"RESOL","N","06/29/2010",6,2010,6,"3021 YORK ST","3021 YORK ST
Kansas City, Missouri 64128
(39.07000084300046, -94.52592057999965)",64128,"Knoches Park",3,22663,2781417.56,1057139.35,NA,NA,NA
2012140734,"PHONE","Health","Health-Rat-","Rat Control Treatment","10/05/2012",10,2012,"RESOL","N","10/15/2012",10,2012,10,"1007 NEWTON AVE","1007 NEWTON AVE
Kansas City, Missouri 64126
(39.09948083500046, -94.50413092099967)",64126,"Sheffield",4,5215,2787620.98,1067898.8,NA,NA,NA
2009050586,"PHONE","Health","Health-Rat-","Rat Control Treatment","02/27/2009",2,2009,"RESOL","N","03/13/2009",3,2009,14,"2634 SPRUCE AVE","2634 SPRUCE AVE
Kansas City, Missouri 64127
(39.077000959000486, -94.53300020299969)",64127,"East Community Team South",3,19703,2779251.4,1059707.2,NA,NA,NA
2010397413,"WEB","Health","Health-Rat-","Rat Control Treatment","12/29/2010",12,2010,"RESOL","N","01/10/2011",1,2011,12,"3722 PROSPECT AVE","3722 PROSPECT AVE
Kansas City, Missouri 64128
(39.05839044600049, -94.55342095199967)",64128,"Ivanhoe Northeast",3,134259,2773438.15,1052934.29,4,5,5
