Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
44342,07/28/2006 02:30:59 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10306,,,,,HYLAN BOULEVARD,ADELAIDE AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Pending,08/27/2006 02:30:59 PM,08/19/2006 12:03:30 AM,03 STATEN ISLAND,STATEN ISLAND,950584,143179,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.55960515654224,-74.12115970523202,"(40.55960515654224, -74.12115970523202)"
105231,03/06/2006 04:59:25 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10314,219 MERRY MOUNT STREET,MERRY MOUNT STREET,SHILOH STREET,NOME AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/05/2006 04:59:25 PM,03/28/2006 12:04:10 AM,02 STATEN ISLAND,STATEN ISLAND,939594,153741,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58854719477522,-74.16078102500013,"(40.58854719477522, -74.16078102500013)"
106933,03/17/2006 04:19:41 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10303,438 MORNING STAR ROAD,MORNING STAR ROAD,DIXON AVENUE,BOWLES AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/16/2006 04:19:41 PM,04/08/2006 12:01:57 AM,01 STATEN ISLAND,STATEN ISLAND,943139,167968,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.62761448987272,-74.14810411364513,"(40.62761448987272, -74.14810411364513)"
116905,05/22/2006 10:10:49 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10301,115 LOGAN AVENUE,LOGAN AVENUE,DEAD END,OSWEGO STREET,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/21/2006 10:10:49 AM,06/13/2006 12:04:26 AM,01 STATEN ISLAND,STATEN ISLAND,955241,162487,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6126181925323,-74.10448264584575,"(40.6126181925323, -74.10448264584575)"
127172,07/06/2006 12:39:27 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10306,,,,,MACE STREET,SPRUCE STREET,INTERSECTION,STATEN ISLAND,,N/A,Pending,08/05/2006 12:39:27 PM,07/28/2006 12:03:23 AM,02 STATEN ISLAND,STATEN ISLAND,945833,148261,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.573534932999195,-74.1382868037786,"(40.573534932999195, -74.1382868037786)"
114514,05/11/2006 04:21:30 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10303,165 MORNING STAR ROAD,MORNING STAR ROAD,INNIS STREET,KALVER PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/10/2006 04:21:30 PM,06/02/2006 12:04:05 AM,01 STATEN ISLAND,STATEN ISLAND,943715,170253,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63388897769733,-74.14604277731509,"(40.63388897769733, -74.14604277731509)"
106182,03/15/2006 10:22:05 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10314,345 HILLMAN AVENUE,HILLMAN AVENUE,BEND,MORGAN LANE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/14/2006 10:22:05 AM,04/06/2006 12:02:13 AM,02 STATEN ISLAND,STATEN ISLAND,939098,162622,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.612921183635535,-74.16262619976479,"(40.612921183635535, -74.16262619976479)"
106611,03/16/2006 10:25:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10301,60 VAN BUREN STREET,VAN BUREN STREET,YORK AVENUE,MINERVA PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/15/2006 10:25:00 AM,04/07/2006 12:02:18 AM,01 STATEN ISLAND,STATEN ISLAND,958920,174312,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.64508658847823,-74.09127626305572,"(40.64508658847823, -74.09127626305572)"
117708,05/29/2006 09:31:10 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,10310,818 POST AVENUE,POST AVENUE,DRIPROCK STREET,DUBOIS AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,06/28/2006 09:31:10 AM,06/20/2006 12:01:48 AM,01 STATEN ISLAND,STATEN ISLAND,948626,169224,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.631085705670124,-74.12834362441546,"(40.631085705670124, -74.12834362441546)"
108116,03/28/2006 09:54:21 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10305,301 BUEL AVENUE,BUEL AVENUE,HYLAN BOULEVARD,LACONIA AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Pending,04/27/2006 09:54:21 PM,04/19/2006 12:02:01 AM,02 STATEN ISLAND,STATEN ISLAND,958532,152360,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58483180505576,-74.0925908009685,"(40.58483180505576, -74.0925908009685)"
