CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
5106683,09/17/2015 03:41:06 PM,09/22/2015 02:20:52 PM,09/22/2015 02:20:52 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"740 14TH ST, SAN FRANCISCO, CA, 94114",8,Duboce Triangle,"(37.767781738297, -122.429787371457)",Voice In,
5106512,09/17/2015 02:49:02 PM,09/22/2015 02:01:50 PM,09/22/2015 02:01:50 PM,Closed,"Case Transferred - Municipal Haz Waste Mgmt Program,DPH
 Jeff Nalle, Inspector
 415-252-3976",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1801 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768140571976, -122.419784645878)",Web Self Service,
5103464,09/16/2015 02:20:59 PM,09/22/2015 01:26:41 PM,09/22/2015 01:26:41 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"991 VALENCIA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.757078639639, -122.420954578618)",Voice In,
5100336,09/15/2015 04:03:14 PM,09/21/2015 04:25:55 PM,09/21/2015 04:25:55 PM,Closed,"Case Transferred - Hotels & Emergency Shelters, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"719 ELLIS ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.784058519272, -122.417957038705)",Voice In,
5100312,09/15/2015 03:59:23 PM,09/21/2015 04:20:10 PM,09/21/2015 04:20:10 PM,Closed,"Case Transferred - Hotels & Emergency Shelters, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"719 ELLIS ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.784058519272, -122.417957038705)",Voice In,
5100016,09/15/2015 02:44:20 PM,09/21/2015 04:12:04 PM,09/21/2015 04:12:04 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"991 VALENCIA ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.757078639639, -122.420954578618)",Voice In,
5098099,09/15/2015 08:22:50 AM,09/21/2015 04:04:41 PM,09/21/2015 04:04:41 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"45 BARTLETT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.756248179814, -122.419872882327)",Web Self Service,
5086689,09/11/2015 06:19:13 AM,09/17/2015 04:19:19 PM,09/17/2015 04:19:19 PM,Closed,"Case Transferred - Healthy Housing & Vector 
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"4813 MISSION ST, SAN FRANCISCO, CA, 94112",11,Excelsior,"(37.721238683141, -122.437202679974)",Voice In,
5085682,09/10/2015 04:07:15 PM,09/17/2015 12:25:52 PM,09/17/2015 12:25:52 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"3308 MISSION ST, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.743864359438, -122.421176695479)",Voice In,
5085383,09/10/2015 02:55:02 PM,09/16/2015 04:18:42 PM,09/16/2015 04:18:42 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DP
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"4316 FULTON ST, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.773098341022, -122.478140509051)",Web Self Service,
5083265,09/10/2015 03:35:36 AM,09/16/2015 03:46:23 PM,09/16/2015 03:46:23 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1329 GRANT AVE, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.799117524763, -122.407371555067)",Voice In,
5079508,09/09/2015 02:47:41 AM,09/14/2015 04:26:15 PM,09/14/2015 04:26:15 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1447 JONES ST, SAN FRANCISCO, CA, 94109",3,Nob Hill,"(37.794694241488, -122.41490514696)",Web Self Service,
5074661,09/07/2015 05:46:58 PM,09/11/2015 03:04:01 PM,09/11/2015 03:04:01 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"519 AMAZON AVE, SAN FRANCISCO, CA, 94112",11,Excelsior,"(37.715640715393, -122.435766425715)",Web Self Service,
5072998,09/07/2015 08:45:01 AM,09/11/2015 03:00:02 PM,09/11/2015 03:00:02 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2571 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755938093333, -122.418613493089)",Web Self Service,
5069488,09/05/2015 01:38:15 PM,09/10/2015 04:05:41 PM,09/10/2015 04:05:41 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"3032 16TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.76516098368, -122.42040702268)",Voice In,
5058920,09/02/2015 10:27:34 AM,09/04/2015 12:49:58 PM,09/04/2015 12:49:58 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805,",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"990 GEARY ST, SAN FRANCISCO, CA, 94109",6,Lower Nob Hill,"(37.786037099465, -122.419461214173)",Voice In,
5057185,09/01/2015 06:20:42 PM,09/04/2015 12:11:51 PM,09/04/2015 12:11:51 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"620 EDDY ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.783357714967, -122.418043466397)",Voice In,
5038843,08/27/2015 09:32:27 AM,08/31/2015 10:28:07 AM,08/31/2015 10:28:07 AM,Closed,"Case Transferred - Consumer Protection, Food
 Safety Program, DPH
 415-252-3804",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2990 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749203017145, -122.418497968248)",Web Self Service,
5037540,08/26/2015 05:57:41 PM,08/31/2015 10:02:15 AM,08/31/2015 10:02:15 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1576 12TH AVE, SAN FRANCISCO, CA, 94122",7,Inner Sunset,"(37.758807004589, -122.46883711601)",Voice In,
5033655,08/25/2015 04:12:46 PM,08/26/2015 11:57:30 AM,08/26/2015 11:57:30 AM,Closed,"Case Resolved - Customer requested to cancel this for now, by coincidence the landlord just informed them that he will be paying for flea treatments next week. Customer will call back if nothing comes of it.",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"4321 JUDAH ST, SAN FRANCISCO, CA, 94122",4,Outer Sunset,"(37.760170207927, -122.508504220972)",Voice In,
5028423,08/24/2015 10:11:48 AM,08/28/2015 11:42:49 AM,08/28/2015 11:42:49 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1801 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768140571976, -122.419784645878)",Web Self Service,
5024759,08/22/2015 07:26:33 PM,08/28/2015 08:57:12 AM,08/28/2015 08:57:12 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"100 FONT BLVD, SAN FRANCISCO, CA, 94132",7,Parkmerced,"(37.715465510975, -122.473332784869)",Web Self Service,
5023462,08/22/2015 10:55:20 AM,08/28/2015 08:40:36 AM,08/28/2015 08:40:36 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"1801 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.768140571976, -122.419784645878)",Web Self Service,
5022680,08/22/2015 04:47:43 AM,08/27/2015 02:50:42 PM,08/27/2015 02:50:42 PM,Closed,Case is a Duplicate - same as Service Request #5022677,DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"402 BROADWAY, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.798495900196, -122.404099504216)",Web Self Service,
5022677,08/22/2015 04:43:20 AM,08/27/2015 02:49:31 PM,08/27/2015 02:49:31 PM,Closed,"Case Transferred - Hotels & Emergency Shelters Program, DPH
 415-252-3866",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"402 BROADWAY, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.798495900196, -122.404099504216)",Web Self Service,
5018723,08/20/2015 05:25:21 PM,08/27/2015 09:02:14 AM,08/27/2015 09:02:14 AM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2598 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755653868748, -122.419343627792)",Web Self Service,
5018716,08/20/2015 05:24:30 PM,08/26/2015 03:26:16 PM,08/26/2015 03:26:16 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"2578 MISSION ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755678089762, -122.418968464191)",Web Self Service,
5016621,08/20/2015 09:42:40 AM,08/25/2015 03:29:34 PM,08/25/2015 03:29:34 PM,Closed,"Case Transferred - Healthy Housing & Vector
 Control Program, DPH
 415-252-3805",DPH - Environmental Health - G,Residential Building Request,Building - Infestation_Rodent_Insect,Infestation_Rodent_Insect,"719 ELLIS ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,"(37.784058519272, -122.417957038705)",Voice In,
