"","b"
"1","Archer Heights"
"2","Armour Square"
"3","Ashburn"
"4","Auburn Gresham"
"5","Austin"
"6","Avalon Park"
"7","Avondale"
"8","Belmont Cragin"
"9","Beverly"
"10","Bridgeport"
"11","Brighton Park"
"12","Burnside"
"13","Calumet Heights"
"14","Chatham"
"15","Chicago Lawn"
"16","Clearing"
"17","Douglas"
"18","Dunning"
"19","East Garfield Park"
"20","East Side"
"21","Edgewater"
"22","Edison Park"
"23","Englewood"
"24","Forest Glen"
"25","Fuller Park"
"26","Gage Park"
"27","Garfield Ridge"
"28","Grand Boulevard"
"29","Greater Grand Crossing"
"30","Hegewisch"
"31","Hermosa"
"32","Humboldt Park"
"33","Hyde Park"
"34","Irving Park"
"35","Jefferson Park"
"36","Kenwood"
"37","Lake View"
"38","Lincoln Park"
"39","Lincoln Square"
"40","Logan Square"
"41","Loop"
"42","Lower West Side"
"43","Mckinley Park"
"44","Montclare"
"45","Morgan Park"
"46","Mount Greenwood"
"47","Near North Side"
"48","Near South Side"
"49","Near West Side"
"50","New City"
"51","North Center"
"52","North Lawndale"
"53","North Park"
"54","Norwood Park"
"55","Oakland"
"56","Ohare"
"57","Portage Park"
"58","Pullman"
"59","Riverdale"
"60","Rogers Park"
"61","Roseland"
"62","South Chicago"
"63","South Deering"
"64","South Lawndale"
"65","South Shore"
"66","Uptown"
"67","Washington Heights"
"68","Washington Park"
"69","West Elsdon"
"70","West Englewood"
"71","West Garfield Park"
"72","West Lawn"
"73","West Pullman"
"74","West Ridge"
"75","West Town"
"76","Woodlawn"
